127.0.0.1 - - [18/Feb/2017:13:03:01 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:03:06 +0800] "POST /struts2_demo_2017_02_17_01/emp-save.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:03:07 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:03:12 +0800] "GET /struts2_demo_2017_02_17_01/emp-delete?employeeId=1335502117 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:03:12 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:25:32 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:25:35 +0800] "GET /struts2_demo_2017_02_17_01/emp-update?employeeId=4003 HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:25:50 +0800] "GET /struts2_demo_2017_02_17_01/emp-update?employeeId=4003 HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:26:48 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:26:52 +0800] "GET /struts2_demo_2017_02_17_01/emp-update?employeeId=4004 HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:29:01 +0800] "GET /struts2_demo_2017_02_17_01/emp-list HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:29:03 +0800] "GET /struts2_demo_2017_02_17_01/emp-update?employeeId=4001 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:29:03 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:40 +0800] "GET /struts2_demo_2017_02_17_01/emp-list.action HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:43 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:43 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:43 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:43 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:44 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:44 +0800] "GET /struts2_demo_2017_02_17_01/emp-list HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:31:47 +0800] "GET /struts2_demo_2017_02_17_01/emp-update?employeeId=4001 HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:33 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:34 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:34 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:34 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:34 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:34 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:35 +0800] "GET /struts2_demo_2017_02_17_01/emp-list HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:32:37 +0800] "GET /struts2_demo_2017_02_17_01/emp-update?employeeId=4001 HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:33:19 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:33:20 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [18/Feb/2017:13:33:20 +0800] "GET /struts2_demo_2017_02_17_01/ HTTP/1.1" 200 307
